player,team,total_runs1,total_overs,total_maiden,total_wicket,avg_runrate,matches
Adam Zampa,Australia,515,96.0,1,23,5.290909090909091,11
Adil Rashid,England,413,79.4,1,15,5.456666666666667,9
Agha Salman,Pakistan,46,5.0,0,0,9.415,2
Aiden Markram,South Africa,85,18.3,1,1,5.48,4
Andile Phehlukwayo,South Africa,36,7.0,0,1,5.14,1
Angelo Mathews,Sri Lanka,107,22.1,2,6,4.918,5
Aryan Dutt,Netherlands,426,77.3,6,10,5.566666666666666,9
Azmatullah Omarzai,Afghanistan,270,38.0,1,7,6.873333333333333,9
Bas de Leede,Netherlands,487,67.0,0,16,7.26375,8
Cameron Green,Australia,11,2.0,0,0,5.5,1
Chamika Karunaratne,Sri Lanka,73,12.0,1,0,5.720000000000001,2
Charith Asalanka,Sri Lanka,10,1.0,0,0,10.0,1
Chris Woakes,England,298,54.6,1,10,5.7275,8
Colin Ackermann,Netherlands,234,47.2,2,5,5.216666666666667,9
Daryl Mitchell,New Zealand,12,1.3,0,0,6.5,2
Dasun Shanaka,Sri Lanka,64,11.0,0,0,5.8,2
David Willey,England,259,51.0,6,11,5.0633333333333335,6
Dhananjaya de Silva,Sri Lanka,174,25.0,0,0,7.405,8
Dilshan Madushanka,Sri Lanka,525,77.8,4,21,6.786666666666666,9
Dunith Wellalage,Sri Lanka,196,29.2,0,2,6.656666666666666,3
Dushan Hemantha,Sri Lanka,94,16.0,0,0,5.875,2
Dushmantha Chameera,Sri Lanka,196,31.2,3,2,6.0775,4
Fazalhaq Farooqi,Afghanistan,228,40.0,2,6,5.906666666666666,6
Gerald Coetzee,South Africa,396,63.3,1,20,6.4425,8
Glenn Maxwell,Australia,330,68.3,1,6,5.04125,8
Glenn Phillips,New Zealand,233,40.0,1,6,5.711,10
Gus Atkinson,England,146,24.0,0,4,6.043333333333333,3
Hardik Pandya,India,113,16.3,0,5,9.2825,4
Haris Rauf,Pakistan,533,79.0,1,16,6.768888888888889,9
Hasan Ali,Pakistan,321,51.0,2,9,6.198333333333333,6
Hasan Mahmud,Bangladesh,132,14.0,0,3,9.64,2
Iftikhar Ahmed,Pakistan,262,48.0,0,4,5.65,8
Ish Sodhi,New Zealand,44,4.0,0,0,11.0,1
James Neesham,New Zealand,157,14.3,0,2,12.18,3
Jasprit Bumrah,India,373,91.5,9,20,3.8745454545454545,11
Joe Root,England,67,10.1,0,1,6.265000000000001,2
Josh Hazlewood,Australia,449,93.1,8,16,4.741818181818181,11
Kagiso Rabada,South Africa,364,72.5,7,13,5.06,9
Kasun Rajitha,Sri Lanka,336,49.0,1,8,7.243333333333333,6
Keshav Maharaj,South Africa,370,89.0,1,15,4.9350000000000005,10
Kuldeep Yadav,India,424,95.1,2,15,4.077272727272727,11
Lahiru Kumara,Sri Lanka,82,11.0,0,3,8.375,2
Liam Livingstone,England,158,29.0,1,3,5.923333333333333,6
Lizaad Williams,South Africa,56,8.4,1,2,6.46,1
Lockie Ferguson,New Zealand,301,54.0,3,10,6.251428571428571,7
Logan van Beek,Netherlands,476,70.5,1,12,6.5,8
Lungi Ngidi,South Africa,355,59.9,6,10,5.76125,8
Mahedi Hasan,Bangladesh,149,24.0,0,6,6.266666666666666,3
Maheesh Theekshana,Sri Lanka,382,71.2,1,6,5.38,8
Mahmudullah,Bangladesh,33,5.0,0,0,6.553333333333334,3
Marco Jansen,South Africa,450,68.6,3,17,6.5088888888888885,9
Marcus Stoinis,Australia,143,19.0,0,4,6.416666666666667,6
Mark Wood,England,349,54.0,1,6,6.88,7
Matheesha Pathirana,Sri Lanka,185,19.0,0,2,9.75,2
Matt Henry,New Zealand,315,53.8,3,11,5.83,7
Mehidy Hasan Miraz,Bangladesh,402,72.0,3,10,5.732222222222223,9
Mitchell Marsh,Australia,96,13.0,0,2,6.85,5
Mitchell Santner,New Zealand,449,92.4,4,16,4.958,10
Mitchell Starc,Australia,528,87.0,2,16,6.082,10
Moeen Ali,England,248,42.4,0,5,6.013333333333333,6
Mohammad Nabi,Afghanistan,254,61.3,4,8,4.868888888888889,9
Mohammad Nawaz,Pakistan,223,37.5,0,2,5.854,5
Mohammad Wasim,Pakistan,215,38.1,2,10,5.5475,4
Mohammed Shami,India,257,48.5,4,24,5.138571428571429,7
Mohammed Siraj,India,469,82.3,6,14,5.420909090909091,11
Mujeeb Ur Rahman,Afghanistan,458,81.5,2,8,5.666666666666667,9
Mustafizur Rahman,Bangladesh,398,65.4,3,5,5.98875,8
Najmul Hossain Shanto,Bangladesh,5,1.0,0,0,5.0,1
Nasum Ahmed,Bangladesh,172,24.3,0,0,6.736666666666667,3
Naveen-ul-Haq,Afghanistan,352,53.0,1,8,6.608750000000001,8
Noor Ahmad,Afghanistan,182,38.0,1,5,4.77,4
Pat Cummins,Australia,515,88.9,1,15,5.678181818181819,11
Paul van Meekeren,Netherlands,447,74.2,1,12,5.972222222222222,9
Rachin Ravindra,New Zealand,393,65.4,0,5,6.243333333333333,9
Rahmat Shah,Afghanistan,12,1.0,0,0,12.0,1
Rashid Khan,Afghanistan,388,86.3,2,11,4.5488888888888885,9
Ravichandran Ashwin,India,34,10.0,1,1,3.4,1
Ravindra Jadeja,India,398,92.9,4,16,4.362727272727273,11
Reece Topley,England,183,27.0,2,8,6.713333333333334,3
Roelof van der Merwe,Netherlands,311,56.0,0,6,5.859999999999999,8
Rohit Sharma,India,7,0.5,0,1,8.4,1
Ryan Klein,Netherlands,41,7.0,1,0,5.85,1
Sam Curran,England,140,17.2,2,2,8.576666666666666,3
Saqib Zulfiqar,Netherlands,40,5.0,0,1,7.915,2
Sean Abbott,Australia,61,10.0,0,2,6.1,1
Shadab Khan,Pakistan,237,38.0,0,2,6.412000000000001,5
Shaheen Shah Afridi,Pakistan,481,81.0,3,18,5.895555555555556,9
Shakib Al Hasan,Bangladesh,329,62.3,1,9,5.265714285714286,7
Shardul Thakur,India,102,17.0,0,2,5.903333333333333,3
Shariz Ahmad,Netherlands,13,2.0,0,0,6.5,1
Shoriful Islam,Bangladesh,409,64.0,3,10,6.28,8
Shubman Gill,India,11,2.0,0,0,5.5,1
Suryakumar Yadav,India,17,2.0,0,0,8.5,1
Tabraiz Shamsi,South Africa,212,37.5,0,9,5.5625,4
Tanzim Hasan Sakib,Bangladesh,80,10.0,0,3,8.0,1
